review_id,candidate_id,premise,hypothesis,auto_label,review_label,keep,notes,source_org,theme,pair_type,transform,source_file,review_status
frdr_v1_0001,fdcp_v9_0081,The 2009 principles were designed to address key weaknesses in stress testing practices as highlighted by the global financial crisis.,We also facilitate information sharing among authorities and institutions through supervisory reporting and data disclosure.,neutral,,,,BCBS,stress_testing,cross_source_neutral,,data/processed/finreg/bcbs/bcbs_stress_testing_principles.txt,pending
frdr_v1_0002,fdcp_v9_0186,"The PRA’s focus is on the overall effectiveness of the service provider’s security environment, which should allow firms to meet their regulatory and risk management obligations and be at least as effective as their in-house security environment.","The PRA’s focus is on the overall effectiveness of the service provider’s security environment, which should not allow firms to meet their regulatory and risk management obligations and be at least as effective as their in-house security environment.",contradiction,,,,PRA-BoE,outsourcing,minimal_contradiction,should_not,data/processed/finreg/pra_boe/pra_ss2_21_outsourcing_third_party.txt,pending
frdr_v1_0003,fdcp_v9_0060,"The PRA’s focus is on the overall effectiveness of the service provider’s security environment, which should allow firms to meet their regulatory and risk management obligations and be at least as effective as their in-house security environment.","The PRA’s focus is on the overall effectiveness of the service provider’s security environment, which should allow firms to meet their regulatory and risk management obligations and be at least as effective as their in-house security environment.",entailment,,,,PRA-BoE,outsourcing,extractive_entailment,,data/processed/finreg/pra_boe/pra_ss2_21_outsourcing_third_party.txt,pending
frdr_v1_0004,fdcp_v9_0111,"To identify such risk concentrations, competent authorities should be able to rely on comprehensive documentation on outsourcing arrangements compiled by financial institutions.","To identify such risk concentrations, competent authorities should not be able to rely on comprehensive documentation on outsourcing arrangements compiled by financial institutions.",contradiction,,,,EBA,outsourcing,minimal_contradiction,should_not,data/processed/finreg/eba/eba_outsourcing.txt,pending
frdr_v1_0005,fdcp_v9_0055,"The PRA recognises that in addition, a reporting line should be established for operational purposes.","The PRA recognises that in addition, a reporting line should be established for operational purposes.",entailment,,,,PRA-BoE,branch_governance,extractive_entailment,,data/processed/finreg/pra_boe/pra_ss4_16_third_country_branches.txt,pending
frdr_v1_0006,fdcp_v9_0072,"The policy should differentiate between conflicts of interest that persist and need to be managed permanently and conflicts of interest that occur unexpectedly with regard to a single event (e.g. a transaction, the selection of service provider, etc.) and can usually be managed with a one-off measure.","The policy should not differentiate between conflicts of interest that persist and need to be managed permanently and conflicts of interest that occur unexpectedly with regard to a single event (e.g. a transaction, the selection of service provider, etc.) and can usually be managed with a one-off measure.",contradiction,,,,EBA,governance,minimal_contradiction,should_not,data/processed/finreg/eba/eba_internal_governance.txt,pending
frdr_v1_0007,fdcp_v9_0251,"In the specific framework of collective suitability, the joint ESMA and EBA Guidelines require that the management body collectively possess the skills to effectively manage and oversee the institution, including, among other aspects, the business of the institution, the main risks related to it and IT and security.","Principle 5 – Model risk mitigants Firms have established policies and procedures for the use of model risk mitigants when models are under-performing, and have procedures for the independent review of post-model adjustments.",neutral,,,,ECB,governance,cross_source_neutral,,data/processed/finreg/ecb/ecb_rdarr_guide.txt,pending
frdr_v1_0008,fdcp_v9_0218,"They reminded that in line with the EBA report on ESG risk management and supervision (published in July 2021) climate risk should be incorporated proportionately and progressively, and only following further data and methodological developments in the area of climate stress testing.","They reminded that in line with the EBA report on ESG risk management and supervision (published in July 2021) climate risk should not be incorporated proportionately and progressively, and only following further data and methodological developments in the area of climate stress testing.",contradiction,,,,EBA,stress_testing,minimal_contradiction,should_not,data/processed/finreg/eba/eba_srep_hub.txt,pending
frdr_v1_0009,fdcp_v9_0024,"Implementation activities should consider their potential effect on (i) internal models, (ii) interactions and interdependencies of risk data aggregation with the integration of financial reporting frameworks, and (iii) overall business and ICT strategies.","Implementation activities should consider their potential effect on (i) internal models, (ii) interactions and interdependencies of risk data aggregation with the integration of financial reporting frameworks, and (iii) overall business and ICT strategies.",entailment,,,,ECB,rdarr,extractive_entailment,,data/processed/finreg/ecb/ecb_rdarr_guide.txt,pending
frdr_v1_0010,fdcp_v9_0049,The methodologies and tools for managing and disclosing climate-related and environmental risks are expected to mature over time.,The methodologies and tools for managing and disclosing climate-related and environmental risks are not expected to mature over time.,contradiction,,,,ECB,climate,minimal_contradiction,expected_not,data/processed/finreg/ecb/ecb_climate_guide_family.txt,pending
frdr_v1_0011,fdcp_v9_0130,"Article 100 of Directive 2013/36/EU requires competent authorities to carry out as appropriate , but at least annually , supervisory stress tests on institutions they supervise whose results should be taken into account in the SREP.","Article 100 of Directive 2013/36/EU requires competent authorities to carry out as appropriate , but at least annually , supervisory stress tests on institutions they supervise whose results should not be taken into account in the SREP.",contradiction,,,,EBA,stress_testing,minimal_contradiction,should_not,data/processed/finreg/eba/eba_srep_hub.txt,pending
frdr_v1_0012,fdcp_v9_0168,The Basel Committee's Principles for effective risk data aggregation will strengthen banks' risk data aggregation capabilities and internal risk reporting practices.,The Basel Committee's Principles for effective risk data aggregation will not strengthen banks' risk data aggregation capabilities and internal risk reporting practices.,contradiction,,,,BCBS,rdarr,minimal_contradiction,will_not,data/processed/finreg/bcbs/bcbs239.txt,pending
frdr_v1_0013,fdcp_v9_0239,"In the case of international banks with UK branches, the arrangements should differentiate between what is booked to the firm’s head office and what is booked to the UK branch.","In the case of international banks with UK branches, the arrangements should not differentiate between what is booked to the firm’s head office and what is booked to the UK branch.",contradiction,,,,PRA-BoE,branch_governance,minimal_contradiction,should_not,data/processed/finreg/pra_boe/pra_ss5_21_branch_subsidiary.txt,pending
frdr_v1_0014,fdcp_v9_0068,"A guiding principle throughout the guidance is that managing model risk involves ""effective challenge"" of models: critical analysis by objective, informed parties that can identify model limitations and produce appropriate changes.","Addressing data challenges Data lineage, or the traceability of data from its origin to its final use, is important for confirming data quality.",neutral,,,,Federal Reserve,model_risk,cross_source_neutral,,data/processed/finreg/fed_occ/fed_sr11_7_model_risk.txt,pending
frdr_v1_0015,fdcp_v9_0070,"This update takes into account the amendments introduced by the fifth Capital Requirements Directive (CRD V) in relation to institutions’ sound remuneration policies and, in particular, the requirement that remuneration policies should be gender neutral.","This update takes into account the amendments introduced by the fifth Capital Requirements Directive (CRD V) in relation to institutions’ sound remuneration policies and, in particular, the requirement that remuneration policies should be gender neutral.",entailment,,,,EBA,general,extractive_entailment,,data/processed/finreg/eba/eba_sound_remuneration.txt,pending
frdr_v1_0016,fdcp_v9_0243,"Addressing data challenges Data lineage, or the traceability of data from its origin to its final use, is important for confirming data quality.","Addressing data challenges Data lineage, or the traceability of data from its origin to its final use, is not important for confirming data quality.",contradiction,,,,BCBS,rdarr,minimal_contradiction,important_not,data/processed/finreg/bcbs/bcbs239_impl_note.txt,pending
frdr_v1_0017,fdcp_v9_0199,Aggregate results of the CCR exploratory scenario will be published together with those of the ECB stress test on early August.,Aggregate results of the CCR exploratory scenario will not be published together with those of the ECB stress test on early August.,contradiction,,,,ECB,stress_testing,minimal_contradiction,will_not,data/processed/finreg/ecb/ecb_2025_stress_test.txt,pending
frdr_v1_0018,fdcp_v9_0142,"These guidelines do not repeal t he Guidelines on ICT risk assessment under the supervisory review and evaluation process (EBA/GL/2017/05) , so they both should be applied according to their scope/addressees.",The Basel Committee remains committed to fostering dialogue between supervisors and the industry to address ongoing challenges and advance the effective implementation of BCBS 239.,neutral,,,,EBA,ict,cross_source_neutral,,data/processed/finreg/eba/eba_ict_security_risk_management.txt,pending
frdr_v1_0019,fdcp_v9_0248,"With respect to retention periods, the PRA expects that records should be retained for as long as is relevant for the purposes for which they are made.","With respect to retention periods, the PRA expects that records should be retained for as long as is relevant for the purposes for which they are made.",entailment,,,,PRA-BoE,branch_governance,extractive_entailment,,data/processed/finreg/pra_boe/pra_ss4_16_third_country_branches.txt,pending
