review_id,candidate_id,premise,hypothesis,auto_label,review_label,keep,notes,source_org,theme,pair_type,transform,source_file,review_status
frdr_v3_0001,fdcp_v11_0035,Credit risk chapter General topics for credit risk This sub-chapter includes the subset of supervisory expectations from the former general topics chapter that are applicable to internal models for credit risk and are therefore better placed within the credit risk chapter.,Credit risk chapter General topics for credit risk This sub-chapter excludes the subset of supervisory expectations from the former general topics chapter that are applicable to internal models for credit risk and are therefore better placed within the credit risk chapter.,contradiction,contradiction,yes,codex first-pass: clear enough for reviewed training candidate,ECB,model_risk,minimal_contradiction,includes_excludes,data/processed/finreg/ecb/ecb_internal_models_guide.txt,reviewed_codex_v1
frdr_v3_0002,fdcp_v11_0162,"The ICT and security risk management framework should be approved and reviewed, at least once a year, by the management body.","The ICT and security risk management framework should not be approved and reviewed, at least once a year, by the management body.",contradiction,contradiction,yes,codex first-pass: clear enough for reviewed training candidate,EBA,ict,minimal_contradiction,should_not,data/processed/finreg/eba/eba_ict_security_risk_management.txt,reviewed_codex_v1
frdr_v3_0003,fdcp_v11_0183,"For systemic wholesale branches, as part of its supervisory programme, the PRA will expect to meet at least annually as part of existing annual meetings with the CEO or the CRO, or both, of the authorised entity of which the branch is part, to discuss the PRA’s expectations on information sharing, as outlined in Box 1, for the firm.","For systemic wholesale branches, as part of its supervisory programme, the PRA will expect to meet at least annually as part of existing annual meetings with the CEO or the CRO, or both, of the authorised entity of which the branch is part, to discuss the PRA’s expectations on information sharing, as outlined in Box 1, for the firm.",entailment,entailment,yes,codex first-pass: clear enough for reviewed training candidate,PRA-BoE,branch_governance,extractive_entailment,,data/processed/finreg/pra_boe/pra_ss5_21_branch_subsidiary.txt,reviewed_codex_v1
frdr_v3_0004,fdcp_v11_0235,Some banks have applied the principles from BCBS 239 to include broader enterprise-wide data governance frameworks.,Some banks have applied the principles from BCBS 239 to exclude broader enterprise-wide data governance frameworks.,contradiction,contradiction,yes,codex first-pass: clear enough for reviewed training candidate,BCBS,rdarr,minimal_contradiction,include_exclude,data/processed/finreg/bcbs/bcbs239_impl_note.txt,reviewed_codex_v1
frdr_v3_0005,fdcp_v11_0017,It was developed in consultation with the Committee on Payment and Settlement Systems to enable banking supervisors to better monitor a bank's management of intraday liquidity risk and its ability to meet payment and settlement obligations on a timely basis.,"Competent authorities should periodically review the institutions’ ICAAP and ILAAP based on the information collected from the institutions in accordance with the EBA Guidelines on ICAAP and ILAAP information collected for SREP purposes 23 and determine their soundness, effectiveness and comprehensiveness according to the criteria specified in this se ction.",neutral,bad,no,document-development / consultation phrasing; low training value,BCBS,liquidity,cross_source_neutral,,data/processed/finreg/bcbs/bcbs248_intraday_liquidity.txt,reviewed_codex_v1
frdr_v3_0006,fdcp_v11_0205,"While a firm may rely extensively on its group for booking, risk management, and other services, the PRA considers that the firm should have sufficient risk management capabilities if it is to satisfy the relevant threshold conditions and comply with the Fundamental Rules.","While a firm may rely extensively on its group for booking, risk management, and other services, the PRA considers that the firm should not have sufficient risk management capabilities if it is to satisfy the relevant threshold conditions and comply with the Fundamental Rules.",contradiction,contradiction,yes,codex first-pass: clear enough for reviewed training candidate,PRA-BoE,general,minimal_contradiction,should_not,data/processed/finreg/pra_boe/pra_ss5_21_branch_subsidiary.txt,reviewed_codex_v1
frdr_v3_0007,fdcp_v11_0068,"For example, for firms with a smaller number of models or less complex models, maintaining a model inventory would be considered less burdensome and the criteria for classifying models into tiers is expected to be materially simpler than for firms with a wider range of models or more complex models.",Balancing manual and automated processes across fragmented data estates is resource-intensive but contributes to effective risk data aggregation.,neutral,neutral,yes,codex first-pass: clear enough for reviewed training candidate,PRA-BoE,general,cross_source_neutral,,data/processed/finreg/pra_boe/pra_cp6_22_model_risk.txt,reviewed_codex_v1
frdr_v3_0008,fdcp_v11_0084,"In particular, the Guide clarifies supervisors’ expectations regarding how management bodies and committees should be composed and function, spells out the roles and responsibilities of the internal control functions, emphasises the importance of risk culture and outlines expectations regarding the risk appetite frameworks of banks.","In particular, the Guide clarifies supervisors’ expectations regarding how management bodies and committees should be composed and function, spells out the roles and responsibilities of the internal control functions, emphasises the importance of risk culture and outlines expectations regarding the risk appetite frameworks of banks.",entailment,entailment,yes,codex first-pass: clear enough for reviewed training candidate,ECB,governance,extractive_entailment,,data/processed/finreg/ecb/ecb_governance_risk_culture_consultation.txt,reviewed_codex_v1
frdr_v3_0009,fdcp_v11_0052,Some banks have applied the principles from BCBS 239 to include broader enterprise-wide data governance frameworks.,Some banks have applied the principles from BCBS 239 to include broader enterprise-wide data governance frameworks.,entailment,entailment,yes,codex first-pass: clear enough for reviewed training candidate,BCBS,rdarr,extractive_entailment,,data/processed/finreg/bcbs/bcbs239_impl_note.txt,reviewed_codex_v1
frdr_v3_0010,fdcp_v11_0018,"Although in practice many material outsourcing and third party arrangements involve ICT products or services (eg cloud), the presence of a given ICT product or service does not, in itself, automatically render an outsourcing arrangement material.",Qualitative findings on weaknesses in banks’ stress testing practices could also affect banks’ scores related to risk data aggregation capabilities and thus their Pillar 2 requirements .,neutral,neutral,yes,codex first-pass: clear enough for reviewed training candidate,PRA-BoE,outsourcing,cross_source_neutral,,data/processed/finreg/pra_boe/pra_ss2_21_outsourcing_third_party.txt,reviewed_codex_v1
frdr_v3_0011,fdcp_v11_0167,"It expects to see progress in their risk management and disclosure, and hopes to support this by clarifying supervisory expectations.","It expects to see progress in their risk management and disclosure, and hopes to support this by clarifying supervisory expectations.",entailment,bad,no,vague pronoun without enough standalone context,ECB,climate,extractive_entailment,,data/processed/finreg/ecb/ecb_climate_guide_family.txt,reviewed_codex_v1
frdr_v3_0012,fdcp_v11_0143,"While BCBS 239 has elevated data governance to the board level, a data-driven culture within some organisations remains a work in progress.",Outsourcing is a way to get relatively easy access to new technologies and to achieve economies of scale.,neutral,neutral,yes,codex first-pass: clear enough for reviewed training candidate,BCBS,governance,cross_source_neutral,,data/processed/finreg/bcbs/bcbs239_impl_note.txt,reviewed_codex_v1
frdr_v3_0013,fdcp_v11_0120,"These include the objectives, governance, policies, processes, methodology, resources and documentation that guide stress testing activities and facilitate the use, implementation and oversight of stress testing frameworks.","These include the objectives, governance, policies, processes, methodology, resources and documentation that guide stress testing activities and facilitate the use, implementation and oversight of stress testing frameworks.",entailment,entailment,yes,codex first-pass: clear enough for reviewed training candidate,BCBS,governance,extractive_entailment,,data/processed/finreg/bcbs/bcbs_stress_testing_principles.txt,reviewed_codex_v1
